date,open,high,low,close,volume
2025-03-19 13:30:00,214.22000122070312,218.759994506836,213.75,215.2400054931641,54385400
2025-03-20 13:30:00,213.9900054931641,217.4900054931641,212.22000122070312,214.1000061035156,48862900
2025-03-21 13:30:00,211.5599975585937,218.83999633789065,211.27999877929688,218.2700042724609,94127800
2025-03-24 13:30:00,221.0,221.47999572753903,218.5800018310547,220.72999572753903,44299500
2025-03-25 13:30:00,220.7700042724609,224.1000061035156,220.0800018310547,223.75,34493600
2025-03-26 13:30:00,223.509994506836,225.0200042724609,220.47000122070312,221.52999877929688,34466100
2025-03-27 13:30:00,221.38999938964844,224.9900054931641,220.5599975585937,223.8500061035156,37094800
2025-03-28 13:30:00,221.6699981689453,223.8099975585937,217.67999267578125,217.8999938964844,39818600
2025-03-31 13:30:00,217.009994506836,225.6199951171875,216.22999572753903,222.1300048828125,65299300
2025-04-01 13:30:00,219.8099975585937,223.67999267578125,218.8999938964844,223.19000244140625,36412700
2025-04-02 13:30:00,221.32000732421875,225.19000244140625,221.0200042724609,223.88999938964844,35905900
2025-04-03 13:30:00,205.5399932861328,207.4900054931641,201.25,203.19000244140625,103419000
2025-04-04 13:30:00,193.88999938964844,199.8800048828125,187.33999633789065,188.3800048828125,125910900
2025-04-07 13:30:00,177.1999969482422,194.1499938964844,174.6199951171875,181.4600067138672,160466300
2025-04-08 13:30:00,186.6999969482422,190.33999633789065,169.2100067138672,172.4199981689453,120859500
2025-04-09 13:30:00,171.9499969482422,200.6100006103516,171.88999938964844,198.8500061035156,184395900
2025-04-10 13:30:00,189.07000732421875,194.77999877929688,183.0,190.4199981689453,121880000
2025-04-11 13:30:00,186.1000061035156,199.5399932861328,186.0599975585937,198.1499938964844,87435900
2025-04-14 13:30:00,211.44000244140625,212.94000244140625,201.16000366210932,202.5200042724609,101352900
2025-04-15 13:30:00,201.8600006103516,203.509994506836,199.8000030517578,202.13999938964844,51343900
2025-04-16 13:30:00,198.3600006103516,200.6999969482422,192.3699951171875,194.2700042724609,59732400
2025-04-17 13:30:00,197.1999969482422,198.8300018310547,194.4199981689453,196.97999572753903,52164700
2025-04-21 13:30:00,193.2700042724609,193.8000030517578,189.8099975585937,193.16000366210932,46742500
2025-04-22 13:30:00,196.1199951171875,201.58999633789065,195.97000122070312,199.7400054931641,52976400
2025-04-23 13:30:00,206.0,208.0,202.8000030517578,204.6000061035156,52929200
2025-04-24 13:30:00,204.88999938964844,208.8300018310547,202.94000244140625,208.3699951171875,47311000
2025-04-25 13:30:00,206.3699951171875,209.75,206.1999969482422,209.27999877929688,38222300
2025-04-28 13:30:00,210.0,211.5,207.4600067138672,210.13999938964844,38743100
2025-04-29 13:30:00,208.69000244140625,212.2400054931641,208.3699951171875,211.2100067138672,36827600
2025-04-30 13:30:00,209.3000030517578,213.5800018310547,206.6699981689453,212.5,52286500
2025-05-01 13:30:00,209.0800018310547,214.5599975585937,208.8999938964844,213.32000732421875,57365700
2025-05-02 13:30:00,206.08999633789065,206.9900054931641,202.16000366210932,205.3500061035156,101010600
2025-05-05 13:30:00,203.1000061035156,204.1000061035156,198.2100067138672,198.88999938964844,69018500
2025-05-06 13:30:00,198.2100067138672,200.6499938964844,197.0200042724609,198.509994506836,51216500
2025-05-07 13:30:00,199.1699981689453,199.44000244140625,193.25,196.25,68536700
2025-05-08 13:30:00,197.72000122070312,200.0500030517578,194.67999267578125,197.4900054931641,50478900
2025-05-09 13:30:00,199.0,200.5399932861328,197.5399932861328,198.52999877929688,36453900
2025-05-12 13:30:00,210.97000122070312,211.2700042724609,206.75,210.7899932861328,63775800
2025-05-13 13:30:00,210.42999267578125,213.3999938964844,209.0,212.92999267578125,51909300
2025-05-14 13:30:00,212.42999267578125,213.94000244140625,210.5800018310547,212.3300018310547,49325800
2025-05-15 13:30:00,210.9499969482422,212.9600067138672,209.5399932861328,211.4499969482422,45029500
2025-05-16 13:30:00,212.3600006103516,212.57000732421875,209.7700042724609,211.259994506836,54737900
2025-05-19 13:30:00,207.91000366210932,209.47999572753903,204.259994506836,208.77999877929688,46140500
2025-05-20 13:30:00,207.6699981689453,208.47000122070312,205.02999877929688,206.8600006103516,42496600
2025-05-21 13:30:00,205.1699981689453,207.0399932861328,200.7100067138672,202.08999633789065,59211800
2025-05-22 13:30:00,200.7100067138672,202.75,199.6999969482422,201.3600006103516,46742400
2025-05-23 13:30:00,193.6699981689453,197.6999969482422,193.4600067138672,195.2700042724609,78432900
2025-05-27 13:30:00,198.3000030517578,200.7400054931641,197.42999267578125,200.2100067138672,56288500
2025-05-28 13:30:00,200.58999633789065,202.72999572753903,199.8999938964844,200.4199981689453,45339700
2025-05-29 13:30:00,203.5800018310547,203.8099975585937,198.509994506836,199.9499969482422,51396800
2025-05-30 13:30:00,199.3699951171875,201.9600067138672,196.77999877929688,200.8500061035156,70819900
2025-06-02 13:30:00,200.27999877929688,202.1300048828125,200.1199951171875,201.6999969482422,35423300
2025-06-03 13:30:00,201.3500061035156,203.7700042724609,200.9600067138672,203.2700042724609,46381600
2025-06-04 13:30:00,202.91000366210932,206.2400054931641,202.1000061035156,202.82000732421875,43604000
